Order,Species,MCAll,MCp,MCpf,MCc,MCg,MCh,AlloAll,SM,BMf,LT,GT,IBI,BMn,BMw,BMin,LS,LpY,ML,NoC
Carnivora,Ursus_maritimus,0,0,0,0,0,0,0,0,272499.9959,212.9166871,241.5460834,831.6795063,670.4999997,8500.000006,7829.499992,1.769999999,0.432859049,38.20000001,2021
Carnivora,Ursus_thibetanus,0,0,0,0,0,0,0,0,77499.99955,98.85417136,196.3360277,365.0001139,366.2499997,NA,NA,1.5,0.986301063,33.00000001,388
Primates,Varecia_rubra,0,0,0,0,0,0,0,0,3291.571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Primates,Varecia_variegata,0,0,0,0,0,0,1,0,3520.000296,135.0000098,102.0939484,365.0001139,90.44999996,NA,NA,2.469999999,NA,36.99999999,430
Artiodactyla,Vicugna_vicugna,0,0,0,0,0,0,0,0,37497.30022,309.89,345.45,547.5000006,6082.920002,NA,NA,1,1,24.80000001,391
Carnivora,Vulpes_bengalensis,1,1,1,0,0,0,1,1,1800,NA,52.33000003,364.9999996,58.48999995,NA,NA,3.49,0.986301369,NA,41
Carnivora,Vulpes_lagopus,1,1,1,0,0,0,1,1,3220.000002,49.50000001,52.99000006,364.9999996,69.17000005,NA,NA,7.649999997,0.986301369,15,947
Carnivora,Vulpes_vulpes,1,1,1,0,0,0,1,1,3900,49.00000225,52.2396189,365.0001139,100.2499999,1487.48,1387.229999,4.475000004,0.986301063,21.29999998,11379
Diprotodontia,Wallabia_bicolor,0,0,0,0,0,0,0,0,12999.99999,449.9999857,35.89219346,249.6669179,0.61,NA,NA,1.05,1.400000001,15,241
Carnivora,Zalophus_californianus,0,0,0,0,0,0,1,0,91000.00161,315.5004623,349.945167,547.4998443,6349.999996,20199.74998,13849.75,1,0.657534434,35.69999999,1327
Rodentia,Zelotomys_woosnami,0,0,0,0,0,0,0,0,54.49999997,15.89999999,30.98999998,31.00000001,NA,NA,NA,4.990000004,11.61290323,NA,7
